Colorado River km downstream of Lee's Ferry in Glen Canyon
River_km,Latitude,Longitude
70.4,36.3960915,-111.85117
70.5,36.3955193,-111.85033
70.6,36.3948402,-111.8496
70.7,36.3941383,-111.8489
70.8,36.3933411,-111.84843
70.9,36.3924904,-111.84809
71,36.3917007,-111.84754
71.1,36.3908195,-111.84734
71.2,36.3899193,-111.84731
71.3,36.389019,-111.84742
71.4,36.38834,-111.8481
71.5,36.3877907,-111.84899
71.6,36.3871498,-111.84975
71.7,36.3864403,-111.85044
71.8,36.3857498,-111.85117
71.9,36.3852386,-111.85206
72,36.3849602,-111.85312
72.1,36.3848801,-111.85422
72.2,36.384819,-111.85533
72.3,36.3846893,-111.85644
72.4,36.3846016,-111.85754
72.5,36.3845596,-111.85866
72.6,36.3843193,-111.85973
72.7,36.3840218,-111.86078
72.8,36.3836784,-111.86181
72.9,36.3833199,-111.86283
73,36.3829498,-111.86385
73.1,36.3825684,-111.86486
73.2,36.3821983,-111.86587
73.3,36.3819504,-111.86695
73.4,36.3817101,-111.86802
73.5,36.3816185,-111.86913
73.6,36.3815002,-111.87023
73.7,36.3813782,-111.87134
73.8,36.3812599,-111.87244
73.9,36.3810997,-111.87354
74,36.380909,-111.87463
74.1,36.3806992,-111.87571
74.2,36.3804283,-111.87678
74.3,36.3800812,-111.87779
74.4,36.379631,-111.87875
74.5,36.3792686,-111.87977
74.6,36.3789787,-111.88082
74.7,36.3786888,-111.88188
74.8,36.3784103,-111.88294
74.9,36.3780899,-111.88398
75,36.3777313,-111.885
75.1,36.3773613,-111.88602
75.2,36.3769989,-111.88704
75.3,36.3764992,-111.88796
75.4,36.3759117,-111.8888
75.5,36.3752518,-111.88956
75.6,36.3745003,-111.89015
75.7,36.373661,-111.89057
75.8,36.3728218,-111.89096
75.9,36.3719215,-111.89101
76,36.3710213,-111.89102
76.1,36.3702393,-111.89059
76.2,36.3695793,-111.88983
76.3,36.3689117,-111.88909
76.4,36.3681602,-111.88847
76.5,36.3673515,-111.88799
76.6,36.3665199,-111.88756
76.7,36.3656693,-111.88717
76.8,36.3648415,-111.88674
76.9,36.3640289,-111.88625
77,36.3632393,-111.88573
77.1,36.3624992,-111.88509
77.2,36.3617592,-111.88445
77.3,36.3610687,-111.88375
77.4,36.3604317,-111.88296
77.5,36.3598099,-111.88215
77.6,36.3591995,-111.88133
77.7,36.3586082,-111.88049
77.8,36.3580894,-111.87958
77.9,36.3574905,-111.87875
78,36.3568497,-111.87797
78.1,36.3562393,-111.87716
78.2,36.355629,-111.87633
78.3,36.3550606,-111.87547
78.4,36.3545189,-111.87459
78.5,36.3538017,-111.87396
78.6,36.3529205,-111.87369
78.7,36.3520508,-111.87341
78.8,36.3511696,-111.87314
78.9,36.3503113,-111.87282
79,36.3494987,-111.87234
79.1,36.34869,-111.87185
79.2,36.3478889,-111.87136
79.3,36.3471107,-111.87079
79.4,36.3463402,-111.87021
79.5,36.3455696,-111.86962
79.6,36.3448906,-111.8689
79.7,36.3442688,-111.86809
79.8,36.3437119,-111.86723
79.9,36.3431091,-111.86641
80,36.3423119,-111.8659
80.1,36.3415108,-111.8654
80.2,36.3406982,-111.86489
80.3,36.3399582,-111.86426
80.4,36.3394508,-111.86337
80.5,36.3390007,-111.8624
80.6,36.3384399,-111.86155
80.7,36.3377304,-111.86087
80.8,36.3369102,-111.86043
80.9,36.336071,-111.86003
81,36.3352089,-111.85969
81.1,36.3343506,-111.85936
81.2,36.3334808,-111.85905
81.3,36.3326187,-111.85873
81.4,36.331749,-111.85841
81.5,36.3308601,-111.85828
81.6,36.3299599,-111.85823
81.7,36.3290596,-111.85819
81.8,36.3281784,-111.85843
81.9,36.327301,-111.85867
82,36.3264198,-111.85892
82.1,36.3255692,-111.85925
82.2,36.3246994,-111.85958
82.3,36.3238792,-111.86003
82.4,36.323101,-111.86059
82.5,36.3223305,-111.86115
82.6,36.3215485,-111.86171
82.7,36.3207283,-111.86218
82.8,36.3199005,-111.86261
82.9,36.3190689,-111.86304
83,36.3182411,-111.86347
83.1,36.3173409,-111.86364
83.2,36.3164597,-111.86382
83.3,36.3155594,-111.86399
83.4,36.3146706,-111.86416
83.5,36.3137817,-111.86425
83.6,36.3128815,-111.86424
83.7,36.3119698,-111.86423
83.8,36.3112411,-111.86363
83.9,36.3105202,-111.86296
84,36.3097801,-111.86232
84.1,36.3090286,-111.8617
84.2,36.3086014,-111.86078
84.3,36.3083115,-111.85973
84.4,36.3078499,-111.85877
84.5,36.3073997,-111.85781
84.6,36.3067818,-111.85701
84.7,36.3061218,-111.85625
84.8,36.3053818,-111.85569
84.9,36.3045082,-111.85548
85,36.3036118,-111.85547
85.1,36.3027115,-111.85547
85.2,36.3018112,-111.85561
85.3,36.3009186,-111.85575
85.4,36.3002014,-111.85641
85.5,36.2994995,-111.8571
85.6,36.2987404,-111.8577
85.7,36.2979507,-111.85825
85.8,36.2971497,-111.85873
85.9,36.2962685,-111.85864
86,36.2954903,-111.85808
86.1,36.294651,-111.85769
86.2,36.2938194,-111.85729
86.3,36.2930794,-111.85666
86.4,36.2923317,-111.85604
86.5,36.2915611,-111.85546
86.6,36.2911606,-111.85455
86.7,36.2907219,-111.85363
86.8,36.2900505,-111.85287
86.9,36.2894707,-111.85203
87,36.2888908,-111.85119
87.1,36.2881584,-111.85056
87.2,36.2873383,-111.85009
87.3,36.2865181,-111.84962
87.4,36.2858505,-111.84887
87.5,36.2851906,-111.84812
87.6,36.2845612,-111.84732
87.7,36.2838287,-111.84668
