River kilometer measured from Lees Ferry (using NHD division) going upstream towards Glen Canyon Dam,,
River_km,Latitude,Longitude
-55.6,37.0117111,-111.31425
-55.7,37.0114784,-111.31318
-55.8,37.0113602,-111.31206
-55.9,37.0113602,-111.31096
-56,37.0115509,-111.30985
-56.1,37.0117302,-111.30875
-56.2,37.0119286,-111.30766
-56.3,37.0122986,-111.30664
-56.4,37.0127602,-111.30568
-56.5,37.0134697,-111.305
-56.6,37.0142097,-111.30435
-56.7,37.0149918,-111.30382
-56.8,37.0158691,-111.30365
-56.9,37.0167694,-111.30367
-57,37.0176506,-111.30389
-57.1,37.0184708,-111.30435
-57.2,37.0192719,-111.30485
-57.3,37.0200806,-111.30536
-57.4,37.0208817,-111.30586
-57.5,37.0216904,-111.30637
-57.6,37.0224991,-111.30686
-57.7,37.0233612,-111.30717
-57.8,37.0242615,-111.30716
-57.9,37.0251389,-111.30701
-58,37.0259285,-111.30648
-58.1,37.0267296,-111.30595
-58.2,37.0273094,-111.30512
-58.3,37.0278091,-111.30418
-58.4,37.0283012,-111.30324
-58.5,37.0286598,-111.30222
-58.6,37.0289383,-111.30115
-58.7,37.0291786,-111.30006
-58.8,37.0294304,-111.29898
-58.9,37.0296898,-111.29791
-59,37.0302315,-111.29701
-59.1,37.0307503,-111.29609
-59.2,37.0311012,-111.29507
-59.3,37.0315094,-111.29407
-59.4,37.0320587,-111.29318
-59.5,37.0326118,-111.29229
-59.6,37.0331612,-111.2914
-59.7,37.0337105,-111.29051
-59.8,37.0342598,-111.28962
-59.9,37.0348206,-111.28874
-60,37.0354004,-111.28788
-60.1,37.0360489,-111.28711
-60.2,37.0365791,-111.28622
-60.3,37.0370598,-111.28527
-60.4,37.0375404,-111.28431
-60.5,37.0382881,-111.2837
-60.6,37.0390701,-111.28313
-60.7,37.0398788,-111.28265
-60.8,37.0407219,-111.28226
-60.9,37.0415688,-111.28189
-61,37.0424385,-111.28176
-61.1,37.04319,-111.28231
-61.2,37.0437508,-111.28318
-61.3,37.0440216,-111.28425
-61.4,37.0442886,-111.28533
-61.5,37.0443192,-111.28643
-61.6,37.044239,-111.28756
-61.7,37.0441399,-111.28867
-61.8,37.0439796,-111.28978
-61.9,37.0438309,-111.29089
-62,37.0436707,-111.292
-62.1,37.0435791,-111.29311
-62.2,37.0435295,-111.29424
-62.3,37.0434685,-111.29536
-62.4,37.0434799,-111.29648
-62.5,37.0435791,-111.29759
-62.6,37.0438499,-111.29866
-62.7,37.0442009,-111.2997
-62.8,37.0446281,-111.30068
-62.9,37.0452385,-111.3015
-63,37.0459595,-111.30218
-63.1,37.0467911,-111.30259
-63.2,37.0476418,-111.30299
-63.3,37.048481,-111.30339
-63.4,37.0493507,-111.30368
-63.5,37.0502281,-111.30395
-63.6,37.0511017,-111.30423
-63.7,37.0519791,-111.30451
-63.8,37.0528488,-111.30479
-63.9,37.0537186,-111.30506
-64,37.0545998,-111.30534
-64.1,37.055481,-111.30544
-64.2,37.0563889,-111.30544
-64.3,37.0572891,-111.30543
-64.4,37.0581894,-111.30543
-64.5,37.0590897,-111.30542
-64.6,37.0599899,-111.30543
-64.7,37.0608902,-111.3054
-64.8,37.0617905,-111.30527
-64.9,37.0626488,-111.30501
-65,37.0634308,-111.30444
-65.1,37.0642014,-111.30387
-65.2,37.0649796,-111.30331
-65.3,37.0657196,-111.30267
-65.4,37.0663605,-111.3019
-65.5,37.0667305,-111.3009
-65.6,37.0667381,-111.29978
-65.7,37.0665703,-111.29867
-65.8,37.0662994,-111.2976
-65.9,37.0659904,-111.29655
-66,37.0656395,-111.29551
-66.1,37.0651703,-111.29455
-66.2,37.0647087,-111.29359
-66.3,37.0642395,-111.29263
-66.4,37.0637703,-111.29167
-66.5,37.0633011,-111.2907
-66.6,37.062809,-111.28978
-66.7,37.0621109,-111.28906
-66.8,37.0614204,-111.28834
-66.9,37.06073,-111.28761
-67,37.0601196,-111.28678
-67.1,37.0596504,-111.28583
-67.2,37.0596695,-111.28474
-67.3,37.0598602,-111.28364
-67.4,37.0596809,-111.28258
-67.5,37.05933,-111.28154
-67.6,37.0589714,-111.28051
-67.7,37.0586205,-111.27947
-67.8,37.0582619,-111.27844
-67.9,37.0579109,-111.27741
-68,37.0575104,-111.27639
-68.1,37.0571213,-111.27538
-68.2,37.0567207,-111.27437
-68.3,37.0563316,-111.27336
-68.4,37.0559311,-111.27235
-68.5,37.0555382,-111.27134
-68.6,37.0551491,-111.27033
-68.7,37.0547485,-111.26932
-68.8,37.0542412,-111.2684
-68.9,37.053669,-111.26752
-69,37.0529594,-111.26683
-69.1,37.0522499,-111.26613
-69.2,37.0515289,-111.26546
-69.3,37.0507698,-111.26487
-69.4,37.0499992,-111.26428
-69.5,37.0492401,-111.26368
-69.6,37.0484695,-111.26309
-69.7,37.0477104,-111.26249
-69.8,37.0469398,-111.2619
-69.9,37.0461311,-111.2614
-70,37.045311,-111.26096
-70.1,37.0444794,-111.26051
-70.2,37.0436516,-111.26007
-70.3,37.04282,-111.25962
-70.4,37.0419884,-111.25918
-70.5,37.0411606,-111.25874
-70.6,37.0403404,-111.25829
-70.7,37.0395088,-111.25785
-70.8,37.038681,-111.25741
-70.9,37.0378494,-111.25696
-71,37.0370216,-111.25652
-71.1,37.03619,-111.25607
-71.2,37.0353394,-111.25576
-71.3,37.0344505,-111.2556
-71.4,37.0335503,-111.25543
-71.5,37.0326614,-111.25527
-71.6,37.0317688,-111.25511
-71.7,37.03088,-111.25492
-71.8,37.0300293,-111.25457
-71.9,37.029171,-111.25423
-72,37.0283203,-111.25385
-72.1,37.0274811,-111.25342
-72.2,37.0266914,-111.25291
-72.3,37.0259094,-111.25233
-72.4,37.0252113,-111.25164
-72.5,37.0245895,-111.25083
-72.6,37.0238991,-111.25011
-72.7,37.0232391,-111.24934
-72.8,37.0226784,-111.24846
-72.9,37.0221596,-111.24754
-73,37.0217018,-111.24658
-73.1,37.0214691,-111.24551
-73.2,37.0213089,-111.2444
-73.3,37.0212593,-111.24329
-73.4,37.0213013,-111.24216
-73.5,37.0214806,-111.24107
-73.6,37.02174,-111.23999
-73.7,37.0221901,-111.23904
-73.8,37.02285,-111.2383
-73.9,37.0236206,-111.23771
-74,37.0243912,-111.23712
-74.1,37.0251808,-111.2366
-74.2,37.0259895,-111.23609
-74.3,37.0267906,-111.23557
-74.4,37.0275917,-111.23506
-74.5,37.028389,-111.23455
-74.6,37.0292015,-111.23403
-74.7,37.0299988,-111.23352
-74.8,37.0307999,-111.23301
-74.9,37.03162,-111.23253
-75,37.0324593,-111.23214
-75.1,37.0333099,-111.23175
-75.2,37.0341492,-111.23135
-75.3,37.0349884,-111.23096
-75.4,37.0358391,-111.23056
-75.5,37.0366783,-111.23017
-75.6,37.0375404,-111.22986
-75.7,37.0384407,-111.22978
-75.8,37.039341,-111.22971
-75.9,37.0402107,-111.22996
-76,37.0410385,-111.23036
-76.1,37.041729,-111.23108
-76.2,37.0422592,-111.23195
-76.3,37.0425797,-111.233
-76.4,37.0429001,-111.23405
-76.5,37.0432205,-111.2351
-76.6,37.0435486,-111.23615
-76.7,37.043869,-111.2372
-76.8,37.0441895,-111.23825
-76.9,37.0445213,-111.2393
-77,37.0447807,-111.24036
-77.1,37.0448799,-111.24148
-77.2,37.0449715,-111.2426
-77.3,37.0451393,-111.24369
-77.4,37.0455589,-111.24469
-77.5,37.0459785,-111.24568
-77.6,37.046711,-111.24633
-77.7,37.0474892,-111.24687
-77.8,37.0483704,-111.24712
-77.9,37.0492516,-111.24737
-78,37.0501289,-111.24763
-78.1,37.0510101,-111.24756
-78.2,37.0519104,-111.2474
-78.3,37.0527611,-111.24706
-78.4,37.0535812,-111.24661
-78.5,37.054409,-111.24615
-78.6,37.0552292,-111.24569
-78.7,37.0560493,-111.24523
-78.8,37.056881,-111.24478
-78.9,37.0577011,-111.24432
-79,37.0585289,-111.24388
-79.1,37.059391,-111.24357
-79.2,37.0602608,-111.24325
-79.3,37.0611305,-111.24294
-79.4,37.0619888,-111.24263
-79.5,37.0628586,-111.24231
-79.6,37.0637207,-111.242
